"Id like to take a moment to talk about the heartbreak and devastation in Louisiana a state that is very special to me." We are one nation, 0, 27
When one state hurts we all hurt – and we must all work together to lift each other up, 27, 46
Working building restoring together, 46, 50
Our prayers are with the families who have lost loved ones and we send them our deepest condolences, 50, 68
Though words cannot express the sadness one feels at times like this I hope everyone in Louisiana knows that our country is praying for them and standing with them to help them in these difficult hours, 68, 104
We are one country one people and we will have together one great future, 104, 118
"Tonight Id like to talk about the New American Future we are going to create together." Last week I laid out my plan to bring jobs back to our country, 118, 148
On Monday I laid out my plan to defeat Radical Islamic Terrorism, 148, 160
On Tuesday in Wisconsin I talked about how we are going to restore law and order to this country, 160, 179
Let me take this opportunity to extend our thanks and our gratitude to the police and law enforcement officers in this country who have sacrificed so greatly in these difficult times, 179, 210
The chaos and violence on our streets and the assaults on law enforcement are an attack against all peaceful citizens, 210, 230
If I am elected President this chaos and violence will end – and it will end very quickly, 230, 248
Every single citizen in our land has a right to live in safety, 248, 261
To be one united nation we must protect all of our people, 261, 273
But we must also provide opportunities for all of our people, 273, 284
We cannot make America great again if we leave any community behind, 284, 296
Nearly Four in ten African-American children are living in poverty.I will not rest until children of every color in this country are fully included in the American Dream, 296, 324
Jobs safety opportunity, 324, 327
Fair and equal representation, 327, 331
This is what I promise to African-Americans Hispanic-Americans and all Americans, 331, 342
But to achieve this New American Future we must break from the failures of the past, 342, 358
"As you know I am not a politician, 358, 366
I have worked in business creating jobs and rebuilding neighborhoods my entire adult life, 366, 380
Ive never wanted to learn the language of the insiders and Ive never been politically correct – it takes far too much time and can often make more difficult." "Sometimes in the heat of debate and speaking on a multitude of issues you dont choose the right words or you say the wrong thing, 380, 434
I have done that and I regret it particularly where it may have caused personal pain, 434, 450
Too much is at stake for us to be consumed with these issues." But one thing I can promise you is this: I will always tell you the truth, 450, 479
"I speak the truth for all of you and for everyone in this country who doesnt have a voice." I speak the truth on behalf of the factory worker who lost his or her job, 479, 514
I speak the truth on behalf of the Veteran who has been denied the medical care they need – and so many are not making it, 514, 540
They are dying, 540, 543
I speak the truth on behalf of the family living near the border that deserves to be safe in their own country but is instead living with no security at all, 543, 574
"Our campaign is about representing the great majority of Americans – Republicans Democrats Independents Conservatives and Liberals – who read the newspaper or turn on the TV and dont hear anyone speaking for them, 574, 608
All they hear are insiders fighting for insiders." These are the forgotten men and women in our society and they are angry at so much on so many levels, 608, 637
The poverty the unemployment the failing schools the jobs moving to other countries, 637, 650
I am fighting for these forgotten Americans, 650, 657
"Fourteen months ago I declared my campaign for the Presidency on the promise to give our government back to the people, 657, 678
Every day since then Ive worked to repay the loyalty and the faith that you have put in me." "Every day I think about how much is at stake for this country, 678, 710
This isnt just the fight of my life its the fight ofour lives – together – to save our country." I refuse to let another generation of American children be excluded from the American Dream, 710, 745
Our whole country loses when young people of limitless potential are denied the opportunity to contribute their talents because we failed to provide them the opportunities they deserved, 745, 773
Let our children be dreamers too, 773, 779
"Our whole country loses every time a kid doesnt graduate from high school or fails to enter the workforce or worse still is lost to the dreadful world of drugs and crime." When I look at the failing schools the terrible trade deals and the infrastructure crumbling in our inner cities I know all of this can be fixed - and it can be fixed very quickly, 779, 846
In the world I come from if something is broken you fix it, 846, 859
"If something isnt working you replace it." "If a product doesnt deliver you make a change." I have no patience for injustice no tolerance for government incompetence no sympathy for leaders who fail their citizens, 859, 894
"Thats why I am running: to end the decades of bitter failure and to offer the American people a new future of honesty justice and opportunity, 894, 920
A future where America and its people always – and I mean always – come first." "Arent you tired of a system that gets rich at your expense?" "Arent you tired of the same old lies and the same old broken promises? And Hillary Clinton has proven to be one of the greatest liars of all time." "Arent you tired of arrogant leaders who look down on you instead of serving and protecting you?" "That is all about to change – and its about to change soon, 920, 1007
We are going to put the American people first again." "Ive travelled all across this country laying out my bold and modern agenda for change." "In this journey I will never lie to you, 1007, 1041
I will never tell you something I do not believe, 1041, 1051
