 Thank you for joining us Madam Secretary, 0, 7
  Lets talk about that "Des Moines Register" — that "Des Moines Register" poll that has you in the lead — eight years ago your hopes were dashed by that surge of new voters for Barack Obama, 7, 43
Are you confident that wont happen again? " Well George heres what Im confident about, 43, 58
Weve run a terrific campaign from the grassroots up, 58, 67
I feel so proud and grateful to the thousands of Iowans who have joined this campaign, 67, 83
And were going to keep working as hard as I can and everybody else until the caucuses conclude tomorrow night, 83, 103
Of course its close, 103, 107
Its competitive, 107, 109
Thats why I hope everybody who has decided to caucus for me will be sure to come out on Monday night." " You did have that surprise on Friday; the State Department saying they will not release 22 emails of yours deemed top secret, 109, 153
You want them released, 153, 157
Why are you so confident that release would not compromise national security? What do you know about those emails that we dont?" " Well heres what I know, 157, 185
I know that this is I think a continuation of the story that has been playing out for months, 185, 204
There is no classified marked information on those emails sent or received by me, 204, 218
Dianne Feinstein the ranking member of the Intelligence Committee whos had a chance to review them has said that this email chain did not originate with me and that there were no classification markings, 218, 252
So I do want them released and of course I cant be clear about exactly what the reasons might be for some in the government as part of this interagency dispute to make this request not to make them public, 252, 292
But I would like to see them disclosed and I think they can, 292, 305
It should be disclosed —"    Your supporters — " — that Im told about them." " — your supporters including Agriculture Secretary Tom Vilsack former governor of Iowa and Senator Feinstein herself has suggested its political, 305, 341
Is that what you think?" " Well its — Im going to leave that to others who are quite experienced in the ways of Washington to comment on, 341, 369
I just have to point out that the timing and some of the leaks that have led up to it are concerning, 369, 391
And I just want this matter resolved, 391, 398
The best way to resolve is to do what I asked months ago release these let the public see them and lets move on." " You know youve said many times that the emails were not marked classified, 398, 436
No evidence that thats not true, 436, 442
But the non-disclosure agreement you signed as secretary of state said that that really is not that relevant, 442, 460
It says classified information is marked or unmarked classified and that all of your training to treat all of that sensitively and should know the difference." " Well of course, 460, 490
And thats exactly what I did, 490, 496
I take classified information very seriously, 496, 502
You know you cant get information off the classified system in the State Department to put onto an unclassified system no matter what that system is, 502, 528
We were very specific about that and you — when you receive information of course there has to be some markings some indication that someone down the chain had thought that this was classified and that was not the case, 528, 568
The final thing I would say because clearly the best answer to all of this is release and disclose these materials is that what Im told is that this chain of emails very well included a published newspaper report, 568, 607
That seems a little hard to understand that we would be retroactively over classifying a public newspaper article, 607, 625
So lets just get it out, 625, 631
Lets see what it is and let the American people draw their own conclusions, 631, 645
This is very much like Benghazi George, 645, 652
You know the Republicans are going to continue to use it beat up on me, 652, 667
I understand that, 667, 670
Thats the way they are, 670, 675
But after 11 hours of testimony answering every single question in public which I have requested for many months I think its pretty clear theyre grasping at straws and this will turn out —"    Finally on this matter you know a few months back you told my colleague David Mir it was a mistake to set up this private server, 675, 735
Yet just this Monday you said there was no error in judgment, 735, 747
How do you square those two statements? " Well look as Ive said many times it was permitted, 747, 765
My predecessors had engaged in a similar practice, 765, 773
It was not the best choice, 773, 779
I wouldnt be here talking to you about it, 779, 788
Id be talking about what people in Iowa are talking to me about about affordable health care and jobs and rising wages and all of the concerns that are on their minds, 788, 820
And be you know really able to answer their questions as I have been now for so many months."  You and Senator Sanders really going at it right now, 820, 849
And here was — he was on the stump there yesterday saying this about your attack, 849, 865
  " Dont tell me that Im defending or protecting the gun lobby, 865, 877
Dont tell me Im attacking Planned Parenthood, 877, 884
Those are inaccuracies, 884, 887
And we can do better than that."   " Hes calling you on this says he got a D- rating from the NRA and 100 percent record with Planned Parenthood." " Well let me tell you what the people who work on these issues every day have said, 887, 934
They say Im the leader, 934, 939
Im the leader who has taken on tough issues, 939, 948
Ive taken on difficult issues like Planned Parenthood the gun lobby for many years, 948, 962
And they concluded to endorse me by the Planned Parenthood Action Fund, 962, 974
I was very honored to have that, 974, 981
Thats not saying that others havent voted with them, 981, 990
