These photos tell the story of Hillary for Iowa, 0, 9
For the last nine months the Hillary for Iowa team has been using the hashtag #ISpyIowa to document their travels across the Hawkeye State as they canvassed phone banked and organized to help Hillary Clinton win the Iowa caucus, 9, 48
There is nothing more beautiful than engaging with purpose organizing with heart and winning every single day, 48, 65
But when they were done taking in the view Team Iowa got to work—wherever they could find a spot, 65, 84
And when they did get an office a Hillary supporter who lived in the neighborhood helped them furnish it, 84, 103
"But that didnt keep them from working outside—the Iowa summer is just too beautiful for organizers to stay indoors!" Plus they had to start knocking on doors and collecting commit cards, 103, 134
The election was only eight months away! Thankfully thousands of people came on board to help Hillary win in Iowa, 134, 154
Some animals even got in on the fun! The Hillary for Iowa crew worked hard ? ?? but they played hard too, 154, 176
?And at some events like the Iowa State Fair they got to do both at the same time, 176, 194
And as the leaves began to change ? ?? and snow started falling ? ? Hillary for Iowa never lost the excitement of those summer days, 194, 220
"And on the night before the Iowa caucus they couldnt resist capturing one last Iowa sunset—and one last canvass." This tweet says it best, 220, 244
See all of the tweets by checking out the   hashtag (or clicking  !) , 244, 257


