"The mothers of Trayvon Martin Eric Garner Sandra Bland Dontre Hamilton and Jordan Davis share what its like fight for justice alongside one another." I have joined together with several other mothers who have lost children, 0, 36
We are the Mothers of the Movement, 36, 43
We have decided that we are going to band together and were going to tell the world our personal stories, 43, 63
This movement is about getting up and moving! Its about changing whats going on in our criminal justice system whats going on with policing in our communities, 63, 90
I know this is what I need to be doing because there are many people who are so angry with the state of whats going on in the world that theyre not going to vote, 90, 125
So I can get out there and say "Hey Im still standing, 125, 137
Even in the midst of all this grief I can get up and move so you can too." Thats why we say were Mothers of the Movement, 137, 164
We are moving, 164, 167
Were not parked we are going, 167, 173
Thats it, 173, 175
"You know when youre a mom and youre grieving and youre missing your child even after youre done with the crying you still have to go home and deal with your regular life which is hard, 175, 211
And so when we get together it is one of the most powerful things you ever can imagine, 211, 229
We catch up and we hear whats going on with the legislature in each persons state, 229, 245
And we try to have fun, 245, 251
We try to at least laugh, 251, 257
Because there is a lot of crying sometimes, 257, 265
We keep tissue available, 265, 269
We will talk about our kids of course but we also talk about all the things that are going on in the world, 269, 292
And now with all of us endorsing Hillary were in this movement to get her in there, 292, 309
We dont care what we have to do were going to do it." Well first of all I wasnt even going to go to that meeting, 309, 335
It was one of those days where I woke up and it was a bad day, 335, 351
I was having a "Sandy day" all day, 351, 359
I was crying and I said "Im not going ok?" And then my daughter said "What do you mean youre not going? Oh no were going." So I get there and all the other moms are there and its like this big reunion, 359, 402
We just hugged each other, 402, 407
Might not have said a word but we just hugged each other and you could feel that energy, 407, 425
Then Hillary Clinton comes in she sits down, 425, 433
And immediately it was like shes at our kitchen table, 433, 443
There was this overwhelming sense that this is family, 443, 452
She said "Im honored to be here with you guys, 452, 462
Tell me about your daughter your son." And we were like "My God." She took her time and listened to each one of us around the table, 462, 489
And then around the end of the meeting she said "You guys really need to unify." And thats what we did, 489, 510
Then she said "I will be getting back with you." And to talk with all the ladies and find out thats literally what she did—you cant fake that, 510, 538
Thats not phony, 538, 541
Were just rolling with Hillary, 541, 546
