"Thank you! Whoa! Thank you so much, 0, 7
And I am so happy to be here in Coral Springs in Broward County in the great state of Florida! And I know theres a big overflow crowd in the next building over, 7, 40
I think they can see and hear us but I wanted to thank them for being part of todays event, 40, 60
"And Ive got to recognize Joshua Simmons who just introduced me, 60, 71
He is a civics teacher at Pompano Beach Middle School and boy are his students lucky to have him and his enthusiasm, 71, 93
And I want to also commend him for talking about his mother and how hard she worked and his sister who he helped to raise, 93, 118
We really are stronger together and that starts in families and neighborhoods and communities." "Well you heard from a lot of my friends who represent you starting with my great friend and former colleague your Senator Bill Nelson, 118, 156
And I am looking forward to working with Bill as we make sure to continue the progress that will move us all forward together, 156, 180
And I sure hope Florida sends some reinforcements to the Senate and elect Congressman Patrick Murphy, 180, 196
I think Florida deserves a full-time senator dont you? And I want to thank my friend someone who has just worked her heart out not just for her constituents but for Democrats across America – Congresswoman Debbie Wasserman Schultz, 196, 235
And another great friend of mine going back more years than we care to remember – Im so pleased hes here with us – Congressman Alcee Hastings, 235, 262
And I know that Congressman Ted Deutch who represents this district – is over in Israel for the funeral of a great great man Shimon Peres and I want to thank Ted for all of his support and his hard work." "Before I get started and really talk about everything thats at stake and what we have to do the next 39 days to make sure we win this election I wanted to say a few words about the tragic passing of Jose Fernandez, 262, 346
When he left Cuba he did not speak a word of English, 346, 358
He didnt let that stop him, 358, 364
He pursued his dreams, 364, 368
He wanted to and he became one of the best baseball players that Miami has ever seen, 368, 385
And he never forgot where he came from, 385, 393
He worked hard to give back to the community that had given so much to him, 393, 409
Joses life really embodied the American dream and at 24 years of age he was just getting started, 409, 427
Im sure you join me in saying that our thoughts and our prayers are with his family with his fans and everyone whose life he touched during his extraordinary career." "I also want to mention another resident of Coral Springs and thats a man named Bob Levinson, 427, 474
My heart goes out to Bobs family, 474, 481
He disappeared in Iran more than nine years ago and it is long past time for the Iranian regime to provide us information about his whereabouts and let him return home to his family." "Now did any of you see the debate the other night? Well I think it was pretty clear there are two very different choices for our country based on two very different visions of the kind of America that we want to have, 481, 558
