"I am greatly relieved by the safe return of American prisoners from Iran, 0, 13
Their families and our country have waited and prayed for this day to come, 13, 27
"I also welcome the full implementation of the nuclear agreement an important achievement of diplomacy backed by pressure, 27, 45
Implementation marks an important step forward in preventing Iran from obtaining a nuclear weapon, 45, 59
Iran has dismantled centrifuges disabled a reactor and shipped out almost all of its enriched uranium, 59, 75
These are important steps that make the United States our allies and the entire world safer, 75, 91
I congratulate President Obama and his team and Im proud of the role I played to get this process started, 91, 111
"But we shouldnt thank Iran for the prisoners or for following through on its obligations, 111, 126
These prisoners were held unjustly by a regime that continues to threaten the peace and security of the Middle East, 126, 146
Another American Bob Levinson still isnt home with his family, 146, 156
The treatment of our Navy sailors earlier this week was offensive including the release of a demeaning and provocative video, 156, 176
Iran is still violating UN Security Council resolutions with its ballistic missile program which should be met with new sanctions designations and firm resolve, 176, 200
"So we cant take our eye off the ball, 200, 209
As President my approach will be to distrust and verify, 209, 219
I will vigorously enforce the nuclear deal as part of a comprehensive strategy that confronts all of Irans negative actions in the region and stand side-by-side with our ally Israel and our Arab partners." , 219, 253


