,sentence,start,end
0,Today Donald J,0,14
1,Trump for President Inc,456,479
2,announced the campaign has officially filed to be on the ballot of the May 10th 2016 West Virginia Republican Presidential Primary,921,1051
3,The Trump campaign also filed a full slate of delegates for the Republican National Convention which will take place in Cleveland July 18-21 2016,1478,1623
4,The Trump campaign filing is the first of any candidate and was submitted weeks ahead of the deadline,1945,2046
5,Mr,2412,2414
6,"Trump stated ""It is my honor to be on the ballot in West Virginia",2785,2850
7,We have received tremendous support from so many people in the Mountain State and are leading in all the polls by double digits,3147,3274
8,In fact my support in West Virginia is higher than in any other state in the nation,3567,3650
9,"I look forward to visiting soon and sharing more about my message and my plans to Make America Great Again!"" ""Mr",3941,4053
10,Trumps campaign also filed a full slate of delegate candidates for the Republican National Convention,4380,4481
11,The delegate candidates will also appear on the ballot of the May 10 primary,4844,4920
12,Two of the delegate candidates State Senator Mark Maynard (Wayne County) and former West Virginia GOP Chairman Mike Stuart (Kanawha County) will serve as co-chairs of the campaigns leadership team in the state.The slate of delegates committed to Mr,5234,5482
13,"Trump includes current and former state legislators activists and party leaders from every region of the state."" ",5961,6073
