,sentence,start,end
0,Thank you,0,9
1,It is always so great to be back in New Hampshire the state where we had our first victory in this incredible journey,379,496
2,"""Ive come to know and love the people of New Hampshire",866,920
3,"You are strong independent and you are free."" We are all going to work very hard together over the next 40 days and we are going to win this state we are going to win the White House",1207,1389
4,We are going to take on the special interests the lobbyists and the corrupt corporate media that have rigged the system against everyday Americans,1609,1755
5,We are going to create millions of new jobs for our people trillions in new wealth for our communities and rising wages for every working American,2041,2187
6,We are going to create a new government that serves you your family and your country,2490,2574
7,We are going to end the Clinton Corruption and restore dignity and honesty to government service,2910,3006
8,Hillary Clinton is an insider fighting only for herself and for her donors,3349,3423
9,I am an outsider fighting for you,3811,3844
10,Everything you need to know about Hillary Clinton can be understood with this simple but very important phrase: Follow The Money,4215,4343
11,The large corporations who support terrible trade deals that offshore jobs – they are donating to Hillary Clinton,4673,4786
12,Follow the money,5178,5194
13,The Wall Street investors who have rigged the regulations against the middle class – they are donating to Hillary Clinton,5573,5694
14,Follow the money,6069,6085
15,The wealthy donors who want to shut down American energy – they are donating to Hillary Clinton,6472,6567
16,Follow the money,6957,6973
17,The special interests who want open borders are donating to Hillary Clinton,7375,7450
18,Again just follow the money,7842,7869
19,In her campaign for President Hillary Clinton has received $100 million dollars in contributions from Wall Street and the hedge funds,8238,8371
20,She and Bill were paid $150 million for speeches since Bill left the Oval Office,8716,8796
21,The same groups paying Bill and Hillary for their speeches were lobbying the federal government,9178,9273
22,Twenty-two groups paying Bill Clinton for speeches lobbied the State Department while Hillary was Secretary of State,9634,9750
23,Favors and access were granted to those who wrote checks,10108,10164
24,"""She put the office of Secretary of State up for sale – and if she ever got the chance shed put the Oval Office up for sale too."" ""She deleted and bleached 33000 emails after a Congressional subpoena",10432,10631
25,13 phones missing several destroyed with a hammer,10927,10976
26,Her staffers taking the fifth amendment and her ringleaders getting immunity deals,11355,11437
27,Were going to call them the FBI Immunity 5,11832,11874
28,Foreign enemies with easy access to hack her server,12286,12337
29,"Lies to Congress under oath about turning over her work-related emails."" She and her financial backers will say anything do anything lie about anything to keep their grip on power – to keep their control over this country",12623,12844
30,The American people have had it with years decades of Clinton Corruption and scandals,13124,13209
31,They are tired of the lies they are tired of the trivial politics they are tired of being talked down to looked down upon and treated like second class citizens,13499,13659
32,The Clintons are the sordid past,13978,14010
33,We are the bright future,14397,14421
34,While our campaign outlines big changes and bold solutions to make your life better the Clinton campaign focuses only on small and petty distractions,14767,14916
35,This will be the year the American people say: Enough is enough,15247,15310
36,Hillary Clinton has been a disaster for so many communities but especially for African-American communities,15678,15785
37,I dont think African-Americans are going to come out and vote for Clinton – they are too smart and they know they are being used,16103,16231
38,They also know that shell do nothing for them once the election is over – she never does and that will never change,16497,16612
39,"Many of them will never forget her calling young African-American men ""super-predators."" Same thing goes for Hispanic voters – they are tired of being used by people like Hillary Clinton that have no intention of doing anything for them once the election is over",16847,17109
40,A Trump Administration will bring prosperity to all of our people,17373,17438
41,My economic agenda can be summed up with three very beautiful words: jobs jobs jobs,17777,17860
42,We are going to pass the biggest tax cut since Ronald Reagan and we are going to lower the business rate from 35% to 15% -- making America into a magnet for new jobs,18112,18277
43,Every wasteful and unnecessary regulation will be eliminated along with every illegal executive order,18559,18660
44,We will unleash the power of American energy – we are sitting on $50 trillion dollars in untapped energy reserves and we are going to put that wealth into the pockets of the American people,18949,19138
45,Common core will be ended and disadvantaged children will be allowed to attend the school of their choice,19413,19518
46,The catastrophe known as Obamacare will be repealed and replaced,19859,19923
47,And the disastrous trade deals like NAFTA that have caused so much pain in New Hampshire will be renegotiated,20278,20387
48,"""NAFTA was signed by Bill Clinton and supported by Hillary Clinton – and your state has lost 1 in 3 manufacturing jobs since it was approved",20680,20820
