,sentence,start,end
0,""" Thank you Madam Secretary",0,27
1,This is a big interview for us,395,425
2,Twenty-two years weve been doing this and this is one of our big ones,793,862
3,"I want to tell you—want to ask you about 12 questions tonight...""  OK",1230,1298
4, ..,1658,1660
5,in two segments,2028,2043
6,I hope we get through them all,2402,2432
7, Thanks Chris,2784,2796
8,""" Back in 2001 when we had 9/11 and you were a senator from New York there was a different spirit in this country including the Republican Party",3107,3251
9,You had a Republican president who went on the air and made it clear time and again this is not a battle between the West and the East,3490,3624
10,Its not about Muslims,3938,3959
11,Its about terrorism,4360,4379
12,"And he did it so effectively."" ""And now we have the leading candidate for the Republican nomination for president basically declaring a war on Muslims saying theyre not allowed in the country the whole works",4696,4903
13,"What do you make of this?"" "" Well its deeply distressing to me because I as you know well remember what happened after 9/11",5163,5286
14,"And I have publicly given President Bush a lot of credit for the way that he set the tone and his entire administration echoed that."" ""And now we need to have a sense of unity and purpose in combatting terrorism",5516,5727
15,I view it as a threat,5983,6004
16,I believe ISIS cannot be contained,6349,6383
17,It has to be defeated,6735,6756
18,But in order to do that we need to work within our own country with Muslim Americans so that what Im hearing from the other side is not only offensive and shameful its dangerous counterproductive,7056,7251
19,"And of course we have to work with countries around the world in order to have a unified coalition against terrorism."" ""And Ive laid out very clearly what I think needs to be done and it does include an American-led air alliance and were doing that",7454,7702
20,"And were supporting troops on the ground that are not Americans special forces but we do need to have the Kurds and the Arabs with special forces support but not American combat troops."" And we need to go after the arc of instability that fuels this terrorist ideology from North Africa to Pakistan Afghanistan and go after their funding and their foreign fighters and their very effective use of the Internet",7797,8206
21,"""But then the third pillar of my approach is we have to be safe here at home",8405,8481
22,We have to work with our friends and allies around the world,8782,8842
23,And I know you just got back from Israel,9141,9181
24,We have a lot of important work to do with countries from one end of the globe to the other,9462,9553
25,And we need to do it in alliance with Muslims here in America and elsewhere,9835,9910
26,"And thats what Im advocating."" "" Thats why Im concerned about the Republican Party because this ethnic way of going at this situation the way they seem to be going at the Muslim people rather than the terrorists—this started—remember when the man whose name we dare not speak anymore Donald Trump—I mean the fact is Trump started his sort of initiation in politics by saying the president of the United States was an illegal immigrant he was probably a Muslim he had a—he almost was an identity thief who created a notion of himself through a phony birth certificate a phony birth announcement and he was somehow—in fact he used to say things—Trump would say things like Nobody knew him in school like hes some phantom impersonator usurper."" The Republican Party every time he did that said nothing",9904,10702
27, Right,10733,10738
