,sentence,start,end
0,"""Today Hillary for America released comprehensive information updating the public on Secretary Hillary Clintons personal health",0,127
1,"The information provides an update to the last disclosure of Secretary Clintons health information in July 2015."" The campaign also released comprehensive health information on Senator Tim Kaine",632,826
2,"""Clintons updated information was provided in the form of a letter from Dr",1228,1302
3,"Lisa Bardack who is Chair of Internal Medicine at CareMount Medical in Mount Kisco NY."" ""Kaines update is provided in the form of axa0"" xa0from Dr",1629,1775
4,Brian P,2100,2107
5,Monahan who is the attending physician of the U.S,2507,2556
6,Congress,2971,2979
7,"""Its fair to say the public now knows more about Hillary Clinton than nearly anyone in public life"" saidxa0 ""Hillary Clintons release of updated medical information today meets a standard followed by presidential candidates like Barack Obama and Mitt Romney",3314,3571
8,Additionally Hillary has made public nearly 40 years of tax returns over her lifetime,3885,3970
9,In stark contrast Donald Trump is hands down the least transparent presidential nominee in memory,4350,4447
10,His Doctor Oz charade is as completely unserious as his original joke of a letter written in five minutes,4789,4894
11,He continues to hide his taxes and business dealing behind fake excuses,5327,5398
12,"And it begs the question: what is he trying to hide?"" To view the letters clickxa0 ",5831,5913
