,sentence,start,end
0,"""We endorsed her because she endorsed us."" In the middle of a live TV town hall from Columbia South Carolina Hillary Clinton took a moment to acknowledge five women in the audience",0,180
1," She explained: ""These five women have lost children to police actions and to random senseless gun violence and theres no doubt that in each case ..",557,704
2,"there is a racial component to it."" Sybrina Fultons son Trayvon Martin was murdered by a man who viewed him as ""dangerous"" because of the color of his skin",965,1120
3,"""Geneva Reed-Veals daughter Sandra Bland was found hanging in a jail cell after she was pulled over for a routine traffic stop."" ""Maria Hamiltons son Dontre Hamilton was shot 14 times by a Milwaukee police officer."" ""Gwen Carrs son Eric Garner was choked to death by a police officer on the streets of New York."" ""Lucy McBaths son Jordan Davis was killed for playing his music too loudly."" ""Last November Hillary Clinton reached out to families who had lost a loved one and invited them to meet in Chicago",1206,1711
4,Many of the mothers werent sure what to expect,1863,1909
5,"But what they saw and heard in the meeting stuck with them."" ""We poured out our hearts",2242,2328
6,Where no other candidate would listen to us Mrs,2667,2714
7,"Clinton did"" said Sybrina",3099,3124
8,"In the months since theyve come together as the ""Mothers of the Movement"" turning their grief over unthinkable tragedy into a powerful call to action",3478,3627
9,Most recently they headed together to South Carolina,3976,4028
10,In between campaign stops Geneva Maria Lucy Sybrina and Gwen sat down to talk about their experiences on the trail,4374,4488
11,""" We have been extremely busy but it was with a purpose",4803,4858
12,We went to a lot of churches and people showed their support by coming out,5177,5251
13,They couldve been doing anything but they decided to come listen to what we had to say and why were endorsing Hillary Clinton,5545,5670
14,"We think were making a difference."" "" You talk about family I feel like were really family",5976,6066
15,And so this experience has brought us closer,6409,6453
16,Outside of endorsing Hillary outside of meeting at these functions this has really allowed me to see that we are anchored in our faith,6773,6907
17,"And so its wonderful when youre in like company and you understand what your purpose is and youre able to move in that purpose—even beyond the pain.""  Its a different kind of pain when you lose a child",7142,7342
18,"These mothers can say ""I know how you feel"" and actually know how we feel how were still carrying the hurt and the pain around with us every single day",7545,7696
19,People dont see that often,7974,8000
20,Theres a lot of disappointment a lot of sadness a lot of hurt a lot of pain that we carry around on a daily basis and it makes it just that much lighter to know that Im going through this journey—and I got other mothers that are standing with me,8226,8471
21,I dont wish this on anybody but if I had to pick somebody this would be the group that I would pick to go through it with me,8646,8770
22,Women that when Im hurting and Im in pain can give me a word,9001,9061
23,Women that I can give a word to and they understand that,9347,9403
24,""" Were deeply and morally grounded in faith",9727,9770
25,And that has a lot to do with the reasons why we have been allowed to go through these tragedies—because we understand dynamically that this is just not about our babies and God has a bigger purpose in what hes doing through us,10033,10260
26,And so were taking this to the streets,10525,10563
27,We know through faith that this is the way we change the course of whats happening in the country,10878,10975
28,Through faith well be able to make sure that Secretary Clinton becomes the next president of the United States,11266,11376
29,We will help usher in just a whole new kind of history,11687,11741
30,Were going to be a part of that—and our children have been the catalyst for that,12049,12129
31,For us its not just being here on the campaign trail,12436,12488
32,"Its much deeper than that."" "" Were still hurting",12827,12875
33,And we know that our children deserved to have somebody fight for them,13219,13289
34,So were their voice,13635,13654
35,They cant fight for themselves,14021,14051
36,That was stripped away from them,14411,14443
37,So we want everybody to know ...,14793,14825
38,"that we love our children."" ""And when we talk to the people we preach",15159,15228
39,They look at us and they tell us how strong we are—but we dont look like what weve been through,15510,15605
40,Weve been through a lot,15897,15920
41,"Were going through a lot and we have a lot to go through!"" Yes! ""We know theres a lot of work to do",16202,16301
42,And were the ones to do it,16574,16600
43,And—as I promised my son—I will walk rally,16914,16956
44,"I will stand up and hold up his name and the names of the nameless and the forgotten because we all hurt."" ""When this journey is over with this campaign we still have to go forward",17208,17388
45,We have to still continue to fight,17661,17695
46,"And with us getting to know each other us learning each others strengths this will help us to go forward in our personal lives—as well as in a group environment.""  We endorsed her because she endorsed us",17981,18183
47, She came to us and she was concerned about our pain,18461,18512
48, She showed us support and concern about what we were going through,18843,18909
49,No one stepped out of the political arena to do that,19255,19307
50,None of the candidates reached out to us,19659,19699
51,When they had their presidential debates no one spoke about Black Lives Matter,20050,20128
52,No one spoke about senseless gun violence and how many African Americans were being killed and how no one was being held accountable for it,20438,20577
53,She supported us before we even supported her,20905,20950
54, She reached out to each one of us individually,21316,21362
55, Twelve families were in that private meeting in Chicago,21738,21793
56, I think we offer a sense of hope for them because in our communities theres a tremendous sense of hopelessness,22129,22239
57,Were watching our babies being gunned down in the street our loved ones and family members being gunned down in the street,22537,22659
58,"And then theyre like ""Where do we turn? What do we do?"" The laws arent supporting us",22983,23067
59,The criminal justice system isnt supporting us,23404,23450
60,Theres nobody supporting us,23833,23860
61,So for them to be able to see that we stood through the loss of our babies—and were still standing and moving forward and fighting on their behalf—I think that really gives them a sense of hope,24162,24355
62,""" And I think our concern has been that everyone waits for the national election to go out and vote",24607,24706
63,But it starts at the primaries,25032,25062
64,You cant wait until the presidential election comes because then its too late,25397,25474
65,Were aiming to move people that may not have gone to the polls,25804,25866
66,"Were trying to be proactive.""  I think we were able to make people aware of how important it is to get out there and vote",26151,26271
67,And I think they see that,26546,26571
68,They get it!  If I could tell the world one thing I would tell them to never give up,26852,26935
69,"Never give up! "" Im hurt but Im not broke."" "" I would tell them that our children have gone on but were still here—and were still speaking for them!"" "" I would tell them that I am a mother thats going to fight for justice as long as theres breath in my body."" "" Id say that weve been a broken people but we still rise!""  Amen! ",27108,27433
