,sentence,start,end
0,"?: ?""?I am honored to have received the endorsement of the United Auto Workers and their over one million active and retired members?.?Every day the UAW shows us that we can and we willxa0Make it in America",0,206
1,"""The U.S",645,653
2,auto industry has come roaring back from the great recession and just posted its best year ever—because the U.S,1036,1147
3,"auto industry has the worlds best hardest-working most innovative and most creative workforce."" ""We need to keep going—and we need a President who will always stand with working families",1458,1644
4,Today about one in five cars built in North America come from Mexico—double the share in 2004,1963,2056
5,Thats why autoworkers need more than tough talk on trade,2393,2449
6,They need a President who knows how to compete and win for American workers,2792,2867
7,I have said for years that I want to see NAFTA renegotiated to give American workers a level playing field,3170,3276
8,And we need to take on new challenges like weak autoxa0rules of originxa0standards that provide a backdoor for Chinese steel and other products into the U.S,3571,3727
9,"Were going to throw the book at China and stop them from cheating American workers."" As President I will stand with the United Auto Workers in protecting workers fundamental right to organize and bargain collectively including in their fight to organize the VW plant in Chattanooga",3953,4234
10,And we need to make sure that the jobs of the future including in clean energy and clean transportation are good union jobs that cant be outsourced,4463,4610
11,"If I am fortunate enough to be elected President organized labor will always have a champion in the White House and a seat at the table—because when unions are strong families are strong and when families are strong America is strong.?""? ",4925,5162
